qseqid	TaxID	Kingdom	Phylum	Class	Order	Family	Genus	Species
E250118428L1C038R02002124968|Cx:i:15569|Cy:i:15758|151C991567B08|5BF33	9544	Metazoa	Chordata	Mammalia	Primates	Cercopithecidae	Macaca	Macaca mulatta
E250118428L1C039R00200676898|Cx:i:13187|Cy:i:15934|A70C051C10AE|607D6	60711	Metazoa	Chordata	Mammalia	Primates	Cercopithecidae	Chlorocebus	Chlorocebus sabaeus
E250118428L1C039R02404933096|Cx:i:15933|Cy:i:13734|63306704857|4E063	9544	Metazoa	Chordata	Mammalia	Primates	Cercopithecidae	Macaca	Macaca mulatta
E250118428L1C040R02403523887|Cx:i:8648|Cy:i:15966|2A4D91404BF44|65C59	61853	Metazoa	Chordata	Mammalia	Primates	Hylobatidae	Nomascus	Nomascus leucogenys
E250118428L1C001R01803025137|Cx:i:3004|Cy:i:21042|1D455E1C8D404|67D81	9541	Metazoa	Chordata	Mammalia	Primates	Cercopithecidae	Macaca	Macaca fascicularis
E250118428L1C005R00904003841|Cx:i:11735|Cy:i:9502|224E515836459|ACFD6	9823	Metazoa	Chordata	Mammalia	Artiodactyla	Suidae	Sus	Sus scrofa
E250118428L1C005R03402406517|Cx:i:5597|Cy:i:21206|1C26A8D735ED4|FFF1C	9568	Metazoa	Chordata	Mammalia	Primates	Cercopithecidae	Mandrillus	Mandrillus leucophaeus
E250118428L1C006R02201898026|Cx:i:9172|Cy:i:11751|424187185ABB|875CD	9838	Metazoa	Chordata	Mammalia	Artiodactyla	Camelidae	Camelus	Camelus dromedarius
E250118428L1C007R01600215257|Cx:i:17156|Cy:i:5904|2724400718002|47F5F	9606	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens
E250118428L1C007R02003364151|Cx:i:5519|Cy:i:19092|B077B55761BD|59C3E	591936	Metazoa	Chordata	Mammalia	Primates	Cercopithecidae	Piliocolobus	Piliocolobus tephrosceles
E250118428L1C008R01502045456|Cx:i:16167|Cy:i:13394|3CED0AD175D34|B9564	9470	Metazoa	Chordata	Mammalia	Primates	Lorisidae	Nycticebus	Nycticebus coucang
E250118428L1C009R01902409513|Cx:i:16847|Cy:i:9144|1CBEE9D081F84|64C0F	9606	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens
E250118428L1C009R02400662399|Cx:i:10702|Cy:i:15308|4122CE282155|61F68	9606	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens
E250118428L1C011R00303463832|Cx:i:16699|Cy:i:7108|19591D750FCB1|8EA2C	9544	Metazoa	Chordata	Mammalia	Primates	Cercopithecidae	Macaca	Macaca mulatta
E250118428L1C012R01101253695|Cx:i:10034|Cy:i:16186|159575014194D|571BA	9606	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens
E250118428L1C013R00902633389|Cx:i:17338|Cy:i:8363|E475A43189C4|64C8F	9555	Metazoa	Chordata	Mammalia	Primates	Cercopithecidae	Papio	Papio anubis
E250118428L1C016R03903154520|Cx:i:16949|Cy:i:11415|34C4FEA7A5018|6395D	9544	Metazoa	Chordata	Mammalia	Primates	Cercopithecidae	Macaca	Macaca mulatta
E250118428L1C017R00703252835|Cx:i:9828|Cy:i:8414|80187E88D1D2|67B5D	9544	Metazoa	Chordata	Mammalia	Primates	Cercopithecidae	Macaca	Macaca mulatta
E250118428L1C017R01700435799|Cx:i:9895|Cy:i:14537|1084543060089|5B88C	9823	Metazoa	Chordata	Mammalia	Artiodactyla	Suidae	Sus	Sus scrofa
E250118428L1C019R01802403484|Cx:i:17626|Cy:i:21391|1330E40291927|9FA31	9606	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens
E250118428L1C019R03204635871|Cx:i:13738|Cy:i:10892|34FDE1E11882E|F3EFB	54180	Metazoa	Chordata	Mammalia	Primates	Cercopithecidae	Trachypithecus	Trachypithecus francoisi
E250118428L1C020R01000475929|Cx:i:14983|Cy:i:13415|3C3506F281457|65014	9823	Metazoa	Chordata	Mammalia	Artiodactyla	Suidae	Sus	Sus scrofa
E250118428L1C020R02102202443|Cx:i:6114|Cy:i:17338|4557D8B04290|67F58	9606	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens
E250118428L1C022R04002765895|Cx:i:10431|Cy:i:20624|535766590C42|5B813	9606	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens
E250118428L1C023R00302946855|Cx:i:16714|Cy:i:7280|654D1655C94E|9AE89	9544	Metazoa	Chordata	Mammalia	Primates	Cercopithecidae	Macaca	Macaca mulatta
E250118428L1C023R02802398557|Cx:i:11878|Cy:i:15241|1E9754404082E|FCC9A	9606	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens
E250118428L1C023R03300917534|Cx:i:4656|Cy:i:16596|736CD5702C38|722CB	9606	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens
E250118428L1C024R02304870790|Cx:i:6307|Cy:i:18122|1012A100470C4|128F5	9606	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens
E250118428L1C024R04201280130|Cx:i:6820|Cy:i:17457|20D5286800122|D5C10	9545	Metazoa	Chordata	Mammalia	Primates	Cercopithecidae	Macaca	Macaca nemestrina
